                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3993,                 2.1559,                 1.4097,                0.80415,                0.16994,                0.43891,                0.25224,                 1.3644,                 2.5769,                 1.4692,             0.00036446,             0.00036446,             0.00036446
                      2,                 1.3603,                 1.3154,                 1.3552,                0.72326,                0.49688,                0.56319,                  0.304,                 1.4744,                 1.7121,                  1.558,             0.00072024,             0.00072024,             0.00072024
                      3,                 1.3718,                 1.2396,                  1.348,                0.79558,                0.54513,                0.66338,                 0.3458,                  1.466,                 1.5562,                  1.616,              0.0010614,              0.0010614,              0.0010614
                      4,                 1.3891,                 1.2315,                 1.3613,                0.79735,                0.58094,                0.69695,                0.36292,                 1.4642,                 1.3039,                 1.5593,               0.001045,               0.001045,               0.001045
                      5,                 1.3693,                 1.1433,                 1.3497,                0.67094,                0.64266,                0.67626,                0.35451,                 1.4942,                 1.2241,                 1.5599,               0.001023,               0.001023,               0.001023
                      6,                 1.3605,                 1.1129,                 1.3298,                0.82771,                0.64851,                0.77966,                0.39872,                 1.4843,                 1.1344,                  1.534,               0.001001,               0.001001,               0.001001
                      7,                 1.3307,                 1.0424,                 1.3069,                0.71088,                0.71082,                0.77203,                0.38289,                 1.5204,                   1.14,                 1.5779,             0.00097901,             0.00097901,             0.00097901
                      8,                   1.33,                 1.0384,                 1.3072,                0.75106,                0.66851,                0.73546,                 0.3955,                 1.4214,                 1.0981,                 1.4767,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.3174,                0.99637,                  1.297,                0.72955,                0.72558,                0.79958,                0.44075,                 1.4503,                 1.0009,                 1.5283,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.3097,                  0.968,                 1.2847,                0.77947,                0.76901,                0.84186,                0.44939,                 1.4088,                0.95734,                 1.4727,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.3016,                0.95844,                 1.2799,                0.72627,                0.75356,                0.79307,                0.43682,                 1.4051,                0.99564,                 1.4788,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.3052,                0.94833,                 1.2925,                0.75755,                0.75623,                0.78851,                 0.4393,                 1.4268,                0.95766,                 1.4783,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.2765,                 0.9284,                 1.2709,                0.77855,                0.75958,                0.80548,                0.44665,                 1.3719,                0.87899,                 1.4525,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.2772,                0.89765,                 1.2724,                0.76675,                 0.7847,                0.83792,                0.46327,                 1.4074,                0.89675,                 1.4781,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.2731,                0.88456,                 1.2647,                0.79578,                0.79416,                 0.8353,                0.44199,                 1.4164,                0.90735,                 1.4693,             0.00080303,             0.00080303,             0.00080303
